t_s,Vdc_V_Cdc4mF,Vdc_V_Cdc8mF,Vdc_V_Cdc16mF
0.158079,809.314,799.96,797.656
0.158579,810.864,801.081,797.977
0.15908,798.612,800.698,798.459
0.15958,786.361,799.075,798.953
0.16008,787.846,797.196,799.311
0.16058,801.346,796.164,799.432
0.161081,811.652,796.561,799.287
0.161581,807.221,798.116,798.931
0.162081,793.104,799.888,798.478
0.162581,785.171,800.836,798.067
0.163082,792.292,800.427,797.818
0.163582,806.413,798.938,797.8
0.164082,811.651,797.269,798.01
0.164582,802.184,796.399,798.376
0.165083,788.701,796.816,798.782
0.165583,786.335,798.242,799.108
0.166083,797.695,799.814,799.257
0.166583,809.97,800.611,799.192
0.167084,809.382,800.187,798.942
0.167584,796.665,798.823,798.587
0.168084,786.134,797.343,798.237
0.168584,789.586,796.614,797.997
0.169085,803.092,797.042,797.934
0.169585,811.445,798.346,798.06
0.170085,805.304,799.74,798.331
0.170585,791.635,800.406,798.659
0.171086,785.794,799.975,798.946
0.171586,794.3,798.728,799.106
0.172086,807.545,797.417,799.097
0.172586,810.642,796.809,798.929
0.173087,800.177,797.242,798.656
0.173587,787.95,798.433,798.366
0.174087,787.677,799.666,798.144
0.174587,799.616,800.219,798.055
0.175088,810.31,799.787,798.12
0.175588,807.77,798.649,798.314
0.176088,794.918,797.49,798.574
0.176588,786.21,796.988,798.82
0.177089,791.394,797.418,798.979
0.177589,804.594,798.504,799.007
0.178089,810.957,799.594,798.901
0.178589,803.386,800.049,798.697
0.17909,790.443,799.622,798.46
0.17959,786.662,798.585,798.262
0.18009,796.246,797.562,798.16
0.18059,808.38,797.15,798.182
0.181091,809.436,797.573,798.315
0.181591,798.293,798.562,798.517
0.182091,787.504,799.523,798.724
0.182591,789.163,799.894,798.874
0.183092,801.358,799.476,798.924
0.183592,810.353,798.533,798.864
0.184092,806.075,797.632,798.716
0.184592,793.395,797.297,798.526
0.185093,786.565,797.71,798.354
0.185593,793.221,798.608,798.25
0.186093,805.836,799.454,798.242
0.186593,810.223,799.754,798.329
0.187094,801.51,799.348,798.482
0.187594,789.533,798.492,798.652
0.188094,787.734,797.699,798.788
0.188594,798.089,797.431,798.851
0.189095,808.922,797.83,798.825
0.189595,808.076,798.645,798.72
0.190095,796.567,799.388,798.572
0.190595,787.347,799.627,798.426
0.191096,790.746,799.235,798.325
0.191596,802.896,798.46,798.298
0.192096,810.12,797.764,798.351
0.192596,804.343,797.552,798.464
0.193097,792.112,797.935,798.601
0.193597,787.168,798.673,798.721
0.194097,795.026,799.325,798.788
0.194597,806.811,799.512,798.785
0.195098,809.28,799.137,798.714
0.195598,799.717,798.435,798.601
0.196098,788.904,797.825,798.479
0.196598,788.969,797.661,798.386
0.197099,799.795,798.027,798.349
0.197599,809.181,798.695,798.376
0.198099,806.606,799.265,798.457
0.198599,795.024,799.408,798.565
0.1991,787.462,799.051,798.668
0.1996,792.382,798.417,798.735
0.2001,804.21,797.883,798.747
0.2006,809.64,797.76,798.703
0.201101,802.617,798.107,798.617
0.201601,791.081,798.71,798.518
0.202101,787.985,799.209,798.436
0.202601,796.767,799.315,798.393
0.203102,807.518,798.976,798.402
0.203602,808.165,798.404,798.457
0.204102,798.041,797.938,798.542
0.204602,788.547,797.849,798.628
0.205103,790.327,798.177,798.691
0.205603,801.335,798.721,798.712
0.206103,809.175,799.156,798.687
0.206603,805.069,799.23,798.625
0.207104,793.687,798.911,798.546
0.207604,787.822,798.395,798.474
0.208104,794.029,797.99,798.431
0.208604,805.289,797.928,798.427
0.209105,808.943,798.238,798.463
0.209605,800.936,798.727,798.527
0.210105,790.304,799.106,798.598
0.210605,788.98,799.154,798.655
0.211106,798.409,798.854,798.682
0.211606,807.961,798.39,798.671
0.212106,806.919,798.038,798.627
0.212606,796.511,798,798.565
0.213107,788.45,798.291,798.504
0.213607,791.765,798.731,798.462
0.214107,802.688,799.059,798.451
0.214607,808.925,799.086,798.472
0.215108,803.505,798.805,798.519
0.215608,792.569,798.389,798.577
0.216108,788.402,798.083,798.627
0.216608,795.648,798.065,798.655
0.217109,806.127,798.336,798.654
0.217609,808.064,798.731,798.625
0.218109,799.335,799.015,798.577
0.218609,789.78,799.025,798.526
0.21911,790.116,798.763,798.488
0.21961,799.924,798.389,798.472
0.22011,808.153,798.125,798.483
0.22061,805.58,798.122,798.517
0.221111,795.151,798.376,798.562
0.221611,788.593,798.73,798.605
0.222111,793.245,798.975,798.633
0.222611,803.838,798.971,798.638
0.223112,808.456,798.727,798.62
0.223612,801.953,798.392,798.584
0.224112,791.679,798.164,798.543
0.224612,789.168,798.174,798.508
0.225113,797.205,798.409,798.49
0.225613,806.723,798.726,798.494
0.226113,807.035,798.937,798.517
0.226613,797.844,798.922,798.552
0.227114,789.5,798.696,798.588
0.227614,791.355,798.396,798.615
0.228114,801.285,798.2,798.623
0.228614,808.108,798.22,798.613
0.229115,804.188,798.438,798.587
0.229615,793.978,798.721,798.554
0.230115,788.955,798.903,798.524
0.230615,794.728,798.878,798.506
0.231116,804.773,798.669,798.504
0.231616,807.797,798.401,798.52
0.232116,800.448,798.234,798.546
0.232616,791.018,798.261,798.576
0.233117,790.09,798.463,798.6
0.233617,798.668,798.716,798.611
0.234117,807.083,798.87,798.606
0.234617,805.895,798.84,798.588
0.235118,796.489,798.646,798.562
0.235618,789.451,798.407,798.537
0.236118,792.661,798.264,798.519
0.236618,802.474,798.298,798.514
0.237119,807.846,798.484,798.523
0.237619,802.777,798.709,798.543
0.238119,793.005,798.841,798.567
0.238619,789.508,798.805,798.588
0.23912,796.181,798.627,798.6
0.23962,805.491,798.414,798.599
0.24012,806.978,798.293,798.587
0.24062,799.019,798.331,798.567
0.241121,790.584,798.502,798.546
0.241621,791.133,798.702,798.53
0.242121,800.011,798.814,798.523
0.242621,807.217,798.774,798.528
0.243122,804.677,798.61,798.542
0.243622,795.291,798.421,798.561
0.244122,789.616,798.319,798.579
0.244622,793.999,798.36,798.59
0.245123,803.478,798.517,798.592
0.245623,807.392,798.695,798.585
0.246123,801.382,798.789,798.57
0.246623,792.238,798.747,798.553
0.247124,790.226,798.597,798.538
0.247624,797.572,798.429,798.531
0.248124,805.991,798.342,798.532
0.248624,806.032,798.385,798.542
0.249125,797.695,798.529,798.557
0.249625,790.369,798.687,798.572
0.250125,792.263,798.766,798.583
0.250625,801.213,798.723,798.586
0.251126,807.142,798.585,798.582
0.251626,803.416,798.437,798.571
0.252126,794.264,798.364,798.558
0.252626,789.973,798.408,798.545
0.253127,795.334,798.54,798.537
0.253627,804.288,798.679,798.537
0.254127,806.771,798.746,798.543
0.254627,800.035,798.701,798.554
0.255128,791.678,798.576,798.567
0.255628,791.078,798.444,798.576
0.256128,798.874,798.384,798.581
0.256628,806.28,798.428,798.579
0.257129,804.989,798.548,798.572
0.257629,796.497,798.672,798.561
0.258129,790.359,798.727,798.55
0.258629,793.448,798.683,798.543
0.25913,802.257,798.568,798.541
0.25963,806.875,798.452,798.545
0.26013,802.144,798.402,798.553
0.26063,793.419,798.446,798.563
0.261131,790.5,798.555,798.572
0.261631,796.636,798.664,798.576
0.262131,804.901,798.71,798.576
0.262631,806.011,798.666,798.571
0.263132,798.761,798.562,798.563
0.263632,791.321,798.459,798.554
0.264132,792.034,798.418,798.547
0.264632,800.065,798.461,798.545
0.265133,806.367,798.561,798.546
0.265633,803.881,798.657,798.552
0.266133,795.442,798.694,798.56
0.266633,790.539,798.651,798.568
0.267134,794.655,798.556,798.573
0.267634,803.133,798.466,798.574
0.268134,806.438,798.433,798.57
0.268634,800.892,798.475,798.564
0.269135,792.759,798.566,798.557
0.269635,791.17,798.65,798.551
0.270135,797.878,798.68,798.548
0.270635,805.318,798.638,798.548
0.271136,805.14,798.552,798.552
0.271636,797.585,798.473,798.559
0.272136,791.16,798.447,798.565
0.272636,793.064,798.487,798.569
0.273137,801.125,798.569,798.571
0.273637,806.268,798.644,798.569
0.274137,802.741,798.667,798.565
0.274637,794.544,798.627,798.559
0.275138,790.889,798.549,798.554
0.275638,795.856,798.48,798.551
0.276138,803.832,798.459,798.55
0.276638,805.854,798.498,798.553
