f_Hz,absZfuente_ohm
2592.04,0.0319034
2618.32,0.0315586
2644.86,0.0312179
2671.67,0.0308815
2698.76,0.0305491
2726.12,0.0302208
2753.75,0.0298964
2781.67,0.029576
2809.87,0.0292594
2838.35,0.0289466
2867.13,0.0286375
2896.19,0.0283322
2925.55,0.0280304
2955.21,0.0277322
2985.17,0.0274375
3015.43,0.0271463
3046,0.0268585
3076.88,0.0265741
3108.07,0.0262929
3139.58,0.0260151
3171.4,0.0257404
3203.55,0.025469
3236.03,0.0252006
3268.83,0.0249354
3301.97,0.0246732
3335.45,0.024414
3369.26,0.0241577
3403.41,0.0239044
3437.92,0.0236539
3472.77,0.0234063
3507.97,0.0231615
3543.54,0.0229194
3579.46,0.0226801
3615.74,0.0224434
3652.4,0.0222094
3689.43,0.0219781
3726.83,0.0217493
3764.61,0.021523
3802.77,0.0212993
3841.32,0.021078
3880.26,0.0208592
3919.6,0.0206428
3959.33,0.0204288
3999.47,0.0202171
4040.02,0.0200078
4080.97,0.0198008
4122.34,0.019596
4164.13,0.0193935
4206.34,0.0191932
4248.99,0.0189951
4292.06,0.0187991
4335.57,0.0186053
4379.52,0.0184135
4423.92,0.0182239
4468.77,0.0180363
4514.07,0.0178507
4559.83,0.0176671
4606.06,0.0174855
4652.75,0.0173058
4699.92,0.0171281
4747.56,0.0169523
4795.69,0.0167783
4844.31,0.0166063
4893.41,0.016436
4943.02,0.0162676
4993.13,0.016101
5043.75,0.0159361
5094.88,0.015773
5146.53,0.0156117
5198.7,0.015452
5251.4,0.015294
5304.64,0.0151378
5358.41,0.0149831
5412.74,0.0148301
5467.61,0.0146787
5523.03,0.0145289
5579.02,0.0143807
5635.58,0.0142341
5692.71,0.014089
5750.42,0.0139454
5808.72,0.0138033
5867.6,0.0136627
5927.08,0.0135236
5987.17,0.0133859
6047.86,0.0132497
6109.17,0.0131149
6171.11,0.0129815
6233.66,0.0128495
6296.86,0.0127189
6360.69,0.0125896
6425.17,0.0124617
6490.31,0.0123351
6556.1,0.0122099
6622.57,0.0120859
6689.7,0.0119632
6757.52,0.0118418
6826.02,0.0117217
6895.22,0.0116028
6965.12,0.0114851
7035.73,0.0113687
7107.05,0.0112534
7179.1,0.0111393
7251.88,0.0110265
7325.39,0.0109148
7399.66,0.0108042
7474.67,0.0106948
7550.44,0.0105865
7626.99,0.0104793
7704.3,0.0103732
7782.41,0.0102682
7861.3,0.0101643
7940.99,0.0100615
8021.5,0.00995974
8102.81,0.00985901
8184.95,0.00975931
8267.93,0.00966063
8351.74,0.00956297
8436.41,0.00946631
8521.93,0.00937064
8608.32,0.00927595
8695.59,0.00918223
8783.74,0.00908947
8872.79,0.00899766
8962.73,0.00890679
9053.59,0.00881685
9145.37,0.00872782
9238.09,0.00863971
9331.74,0.00855249
9426.34,0.00846617
9521.9,0.00838073
9618.42,0.00829616
9715.93,0.00821245
9814.42,0.00812959
9913.92,0.00804758
10014.4,0.00796641
10115.9,0.00788606
10218.5,0.00780653
10322.1,0.00772781
10426.7,0.0076499
10532.4,0.00757277
10639.2,0.00749643
10747,0.00742086
10856,0.00734607
10966,0.00727203
11077.2,0.00719875
11189.5,0.00712621
11302.9,0.00705441
11417.5,0.00698333
11533.3,0.00691298
11650.2,0.00684335
11768.3,0.00677441
11887.6,0.00670618
12008.1,0.00663864
12129.8,0.00657179
12252.8,0.00650561
12377,0.00644011
12502.5,0.00637526
12629.2,0.00631108
12757.3,0.00624755
12886.6,0.00618465
13017.2,0.0061224
13149.2,0.00606078
13282.5,0.00599978
13417.1,0.00593939
13553.1,0.00587962
13690.5,0.00582045
13829.3,0.00576189
13969.5,0.00570391
14111.1,0.00564652
14254.2,0.00558971
14398.7,0.00553348
14544.7,0.00547781
14692.1,0.00542271
14841,0.00536816
14991.5,0.00531417
15143.5,0.00526072
15297,0.00520781
15452.1,0.00515543
15608.7,0.00510358
15766.9,0.00505226
15926.8,0.00500146
16088.2,0.00495116
16251.3,0.00490138
16416.1,0.0048521
16582.5,0.00480331
16750.6,0.00475502
16920.4,0.00470721
17091.9,0.00465989
17265.2,0.00461305
17440.2,0.00456667
17617,0.00452077
17795.6,0.00447533
17976,0.00443034
18158.2,0.00438581
18342.3,0.00434173
18528.3,0.00429809
18716.1,0.0042549
18905.8,0.00421213
19097.5,0.0041698
19291.1,0.0041279
19486.6,0.00408642
19684.2,0.00404535
19883.7,0.0040047
20085.3,0.00396446
20288.9,0.00392463
20494.6,0.00388519
20702.4,0.00384616
20912.2,0.00380751
21124.2,0.00376926
21338.4,0.00373139
21554.7,0.0036939
21773.2,0.00365679
21993.9,0.00362005
22216.9,0.00358368
22442.1,0.00354768
22669.6,0.00351204
22899.4,0.00347676
23131.6,0.00344184
23366.1,0.00340727
23602.9,0.00337304
23842.2,0.00333916
24083.9,0.00330562
24328.1,0.00327242
24574.7,0.00323955
24823.8,0.00320701
25075.5,0.0031748
25329.7,0.00314291
25586.4,0.00311135
25845.8,0.0030801
26107.8,0.00304916
26372.5,0.00301854
26639.9,0.00298822
26909.9,0.00295821
27182.7,0.00292851
27458.3,0.0028991
27736.6,0.00286998
28017.8,0.00284116
28301.8,0.00281263
28588.8,0.00278439
28878.6,0.00275643
29171.3,0.00272875
29467.1,0.00270135
29765.8,0.00267422
30067.5,0.00264737
30372.3,0.00262078
30680.2,0.00259447
30991.2,0.00256842
31305.4,0.00254263
31622.8,0.0025171
