f_Hz,absZdd_ohm,angZdd_deg,absZqq_ohm,angZqq_deg,absZdq_ohm,absZqd_ohm
1885.2,7.86845,84.1673,7.86844,84.1672,0.238191,0.238353
1919.56,8.14697,84.5373,8.14695,84.5372,0.239067,0.239217
1954.55,8.42882,84.8798,8.4288,84.8797,0.240021,0.240161
1990.17,8.71404,85.1971,8.71403,85.197,0.241045,0.241176
2026.45,9.0027,85.4915,9.00268,85.4915,0.242132,0.242254
2063.38,9.29483,85.7651,9.29481,85.765,0.243274,0.243387
2100.99,9.59049,86.0194,9.59048,86.0194,0.244463,0.244569
2139.29,9.88976,86.2562,9.88975,86.2562,0.245694,0.245792
2178.28,10.1927,86.4769,10.1927,86.4768,0.24696,0.247051
2217.99,10.4994,86.6827,10.4994,86.6826,0.248255,0.24834
2258.41,10.8099,86.8748,10.8098,86.8748,0.249573,0.249652
2299.58,11.1242,87.0543,11.1242,87.0543,0.250911,0.250984
2341.49,11.4426,87.2222,11.4426,87.2221,0.252263,0.252331
2384.17,11.765,87.3792,11.765,87.3792,0.253624,0.253688
2427.63,12.0915,87.5263,12.0915,87.5262,0.254992,0.255051
2471.88,12.4223,87.6641,12.4223,87.6641,0.256363,0.256418
2516.93,12.7574,87.7933,12.7574,87.7933,0.257732,0.257783
2562.81,13.0969,87.9145,13.0969,87.9145,0.259098,0.259145
2609.52,13.4409,88.0283,13.4409,88.0283,0.260457,0.260501
2657.09,13.7896,88.1352,13.7896,88.1351,0.261807,0.261848
2705.52,14.1429,88.2356,14.1429,88.2356,0.263147,0.263185
2754.83,14.5011,88.33,14.5011,88.33,0.264473,0.264508
2805.05,14.8642,88.4188,14.8642,88.4188,0.265784,0.265817
2856.17,15.2323,88.5024,15.2323,88.5024,0.267079,0.26711
2908.23,15.6056,88.5811,15.6056,88.5811,0.268356,0.268385
2961.24,15.9842,88.6552,15.9842,88.6552,0.269615,0.269641
3015.22,16.3681,88.725,16.3681,88.725,0.270853,0.270877
3070.18,16.7575,88.7909,16.7575,88.7909,0.27207,0.272093
3126.14,17.1525,88.8529,17.1525,88.8529,0.273266,0.273287
3183.12,17.5532,88.9115,17.5532,88.9115,0.274439,0.274458
3241.14,17.9598,88.9667,17.9598,88.9667,0.275589,0.275607
3300.21,18.3724,89.0189,18.3724,89.0189,0.276716,0.276733
3360.37,18.791,89.0681,18.791,89.0681,0.277819,0.277835
3421.62,19.216,89.1146,19.216,89.1146,0.278899,0.278913
3483.98,19.6473,89.1585,19.6472,89.1585,0.279954,0.279968
3547.49,20.0851,89.2001,20.085,89.2001,0.280985,0.280998
3612.15,20.5295,89.2393,20.5295,89.2393,0.281992,0.282004
3677.99,20.9807,89.2764,20.9807,89.2764,0.282975,0.282986
3745.03,21.4389,89.3115,21.4389,89.3115,0.283934,0.283944
3813.29,21.9041,89.3447,21.9041,89.3447,0.284868,0.284878
