f_Hz,ReZdd_fpll30,ReZqq_fpll30,ReZdd_fpll100,ReZqq_fpll100
5.1111,34.0111,-32.5822,34.064,-33.4716
5.19628,34.0186,-32.5505,34.0737,-33.4686
5.28289,34.0262,-32.5178,34.0835,-33.4655
5.37094,34.0337,-32.484,34.0935,-33.4623
5.46045,34.0413,-32.4491,34.1035,-33.459
5.55146,34.0489,-32.4132,34.1137,-33.4555
5.64399,34.0564,-32.3761,34.1239,-33.4518
5.73805,34.0639,-32.3379,34.1342,-33.4481
5.83369,34.0714,-32.2984,34.1446,-33.4441
5.93092,34.0789,-32.2578,34.1551,-33.44
6.02977,34.0863,-32.2158,34.1657,-33.4357
6.13026,34.0936,-32.1726,34.1763,-33.4313
6.23244,34.1009,-32.128,34.187,-33.4266
6.33631,34.108,-32.0821,34.1977,-33.4218
6.44192,34.1151,-32.0347,34.2085,-33.4168
6.54928,34.122,-31.9859,34.2193,-33.4115
6.65844,34.1289,-31.9356,34.2301,-33.4061
6.76941,34.1355,-31.8838,34.241,-33.4004
6.88224,34.1421,-31.8304,34.2518,-33.3945
6.99694,34.1484,-31.7755,34.2627,-33.3884
7.11356,34.1546,-31.7188,34.2735,-33.3819
7.23212,34.1606,-31.6606,34.2844,-33.3753
7.35265,34.1663,-31.6006,34.2952,-33.3684
7.4752,34.1719,-31.5388,34.3059,-33.3611
7.59979,34.1772,-31.4752,34.3167,-33.3536
7.72645,34.1822,-31.4099,34.3273,-33.3458
7.85522,34.187,-31.3426,34.3379,-33.3377
7.98615,34.1915,-31.2734,34.3484,-33.3293
8.11925,34.1956,-31.2022,34.3589,-33.3205
8.25457,34.1995,-31.1291,34.3692,-33.3113
8.39215,34.203,-31.0539,34.3794,-33.3019
8.53202,34.2062,-30.9766,34.3895,-33.292
8.67422,34.209,-30.8972,34.3994,-33.2817
8.81879,34.2114,-30.8156,34.4092,-33.2711
8.96577,34.2134,-30.7318,34.4188,-33.26
9.1152,34.2151,-30.6458,34.4283,-33.2485
9.26712,34.2163,-30.5575,34.4376,-33.2366
9.42158,34.217,-30.4669,34.4467,-33.2242
9.5786,34.2173,-30.3739,34.4556,-33.2113
9.73825,34.2172,-30.2785,34.4643,-33.1979
9.90055,34.2165,-30.1807,34.4727,-33.1841
10.0656,34.2154,-30.0804,34.4809,-33.1697
10.2333,34.2137,-29.9776,34.4889,-33.1547
10.4039,34.2116,-29.8723,34.4965,-33.1392
10.5773,34.2089,-29.7644,34.5039,-33.1231
10.7536,34.2057,-29.6538,34.5111,-33.1064
10.9328,34.2019,-29.5407,34.5179,-33.0891
11.115,34.1976,-29.4249,34.5244,-33.0712
11.3003,34.1926,-29.3064,34.5306,-33.0526
11.4886,34.1872,-29.1852,34.5365,-33.0333
11.6801,34.1811,-29.0612,34.542,-33.0134
11.8747,34.1744,-28.9345,34.5471,-32.9927
12.0727,34.1672,-28.805,34.5519,-32.9712
12.2739,34.1593,-28.6727,34.5563,-32.949
12.4784,34.1508,-28.5376,34.5603,-32.926
12.6864,34.1417,-28.3996,34.5639,-32.9022
12.8979,34.132,-28.2587,34.5671,-32.8775
13.1128,34.1217,-28.115,34.5699,-32.8519
13.3314,34.1108,-27.9685,34.5722,-32.8255
13.5536,34.0992,-27.819,34.5741,-32.7981
13.7795,34.087,-27.6666,34.5755,-32.7698
14.0091,34.0742,-27.5113,34.5765,-32.7405
14.2426,34.0608,-27.3531,34.577,-32.7102
14.48,34.0467,-27.1921,34.577,-32.6789
14.7213,34.032,-27.0281,34.5765,-32.6464
14.9667,34.0168,-26.8612,34.5754,-32.6129
15.2161,34.0009,-26.6914,34.5739,-32.5782
15.4697,33.9844,-26.5187,34.5718,-32.5424
15.7276,33.9673,-26.3431,34.5691,-32.5054
15.9897,33.9496,-26.1647,34.5659,-32.4671
16.2562,33.9313,-25.9834,34.5621,-32.4275
16.5271,33.9125,-25.7993,34.5578,-32.3867
16.8026,33.8931,-25.6123,34.5528,-32.3445
17.0826,33.8731,-25.4225,34.5472,-32.3009
17.3673,33.8526,-25.23,34.541,-32.2558
17.6568,33.8316,-25.0346,34.5342,-32.2093
17.9511,33.81,-24.8366,34.5267,-32.1613
18.2502,33.7879,-24.6358,34.5186,-32.1117
18.5544,33.7652,-24.4323,34.5098,-32.0606
18.8637,33.7421,-24.2261,34.5003,-32.0078
19.1781,33.7185,-24.0173,34.4901,-31.9533
19.4977,33.6944,-23.8059,34.4792,-31.8971
19.8227,33.6699,-23.5919,34.4676,-31.8391
20.153,33.6449,-23.3754,34.4552,-31.7793
20.4889,33.6195,-23.1563,34.4421,-31.7176
20.8304,33.5936,-22.9348,34.4282,-31.654
21.1776,33.5674,-22.7108,34.4135,-31.5885
21.5305,33.5407,-22.4844,34.398,-31.5209
21.8894,33.5136,-22.2556,34.3817,-31.4512
22.2542,33.4861,-22.0245,34.3646,-31.3794
22.6251,33.4583,-21.7911,34.3466,-31.3054
23.0022,33.4301,-21.5554,34.3278,-31.2292
23.3856,33.4016,-21.3175,34.308,-31.1507
23.7753,33.3727,-21.0774,34.2874,-31.0698
24.1716,33.3435,-20.8351,34.2659,-30.9865
24.5745,33.314,-20.5907,34.2434,-30.9008
24.984,33.2841,-20.3443,34.22,-30.8125
25.4004,33.254,-20.0958,34.1956,-30.7217
25.8238,33.2235,-19.8453,34.1702,-30.6282
26.2542,33.1927,-19.5929,34.1438,-30.532
26.6918,33.1617,-19.3385,34.1163,-30.433
27.1366,33.1303,-19.0823,34.0878,-30.3313
27.5889,33.0987,-18.8243,34.0583,-30.2266
28.0487,33.0668,-18.5645,34.0276,-30.119
28.5162,33.0346,-18.3029,33.9959,-30.0084
28.9915,33.0021,-18.0397,33.963,-29.8947
